line_no,field,original_value,offset
26,timestamp,03/17/2025-22:49:49.898882,0
26,src_ip,10.22.65.120,140
26,src_port,57621,153
26,dest_ip,10.22.67.255,162
26,dest_port,57621,175
27,timestamp,03/17/2025-22:49:51.529155,0
27,src_ip,10.22.67.162,140
27,src_port,57621,153
27,dest_ip,10.22.67.255,162
27,dest_port,57621,175
28,timestamp,03/17/2025-22:50:35.692498,0
28,src_ip,10.22.67.180,140
28,src_port,57621,153
28,dest_ip,10.22.67.255,162
28,dest_port,57621,175
29,timestamp,03/17/2025-22:50:37.297961,0
29,src_ip,10.21.236.98,145
29,src_port,51886,158
29,dest_ip,10.22.64.192,167
29,dest_port,22,180
30,timestamp,03/17/2025-22:50:37.364283,0
30,src_ip,10.21.236.98,200
30,src_port,51886,213
30,dest_ip,10.22.64.192,222
30,dest_port,22,235
31,timestamp,03/17/2025-22:50:54.566029,0
31,src_ip,34.117.188.166,154
31,src_port,443,169
31,dest_ip,10.22.64.192,176
31,dest_port,59956,189
32,timestamp,03/17/2025-22:50:54.566029,0
32,src_ip,34.117.188.166,151
32,src_port,443,166
32,dest_ip,10.22.64.192,173
32,dest_port,59956,186
33,timestamp,03/17/2025-22:50:54.568437,0
33,src_ip,34.117.188.166,151
33,src_port,443,166
33,dest_ip,10.22.64.192,173
33,dest_port,59956,186
34,timestamp,03/17/2025-22:50:54.574437,0
34,src_ip,34.117.188.166,151
34,src_port,443,166
34,dest_ip,10.22.64.192,173
34,dest_port,59956,186
35,timestamp,03/17/2025-22:50:54.586482,0
35,src_ip,34.117.188.166,151
35,src_port,443,166
35,dest_ip,10.22.64.192,173
35,dest_port,59956,186
36,timestamp,03/17/2025-22:50:59.800916,0
36,src_ip,10.22.65.17,140
36,src_port,57621,152
36,dest_ip,10.22.67.255,161
36,dest_port,57621,174
37,timestamp,03/17/2025-22:51:11.664833,0
37,src_ip,10.22.64.192,175
37,src_port,22,188
37,dest_ip,10.21.236.98,194
37,dest_port,42130,207
38,timestamp,03/17/2025-22:51:11.664833,0
38,src_ip,10.22.64.192,150
38,src_port,22,163
38,dest_ip,10.21.236.98,169
38,dest_port,42130,182
39,timestamp,03/17/2025-22:51:11.665314,0
39,src_ip,10.21.236.98,150
39,src_port,42130,163
39,dest_ip,10.22.64.192,172
39,dest_port,22,185
40,timestamp,03/17/2025-22:51:11.674197,0
40,src_ip,10.22.64.192,175
40,src_port,22,188
40,dest_ip,10.21.236.98,194
40,dest_port,42146,207
41,timestamp,03/17/2025-22:51:11.674197,0
41,src_ip,10.22.64.192,150
41,src_port,22,163
41,dest_ip,10.21.236.98,169
41,dest_port,42146,182
42,timestamp,03/17/2025-22:51:11.674603,0
42,src_ip,10.21.236.98,150
42,src_port,42146,163
42,dest_ip,10.22.64.192,172
42,dest_port,22,185
43,timestamp,03/17/2025-22:51:11.688088,0
43,src_ip,10.22.64.192,175
43,src_port,22,188
43,dest_ip,10.21.236.98,194
43,dest_port,42154,207
44,timestamp,03/17/2025-22:51:11.688088,0
44,src_ip,10.22.64.192,150
44,src_port,22,163
44,dest_ip,10.21.236.98,169
44,dest_port,42154,182
45,timestamp,03/17/2025-22:51:11.688509,0
45,src_ip,10.21.236.98,150
45,src_port,42154,163
45,dest_ip,10.22.64.192,172
45,dest_port,22,185
46,timestamp,03/17/2025-22:51:11.698370,0
46,src_ip,10.22.64.192,175
46,src_port,22,188
46,dest_ip,10.21.236.98,194
46,dest_port,42170,207
47,timestamp,03/17/2025-22:51:11.698370,0
47,src_ip,10.22.64.192,150
47,src_port,22,163
47,dest_ip,10.21.236.98,169
47,dest_port,42170,182
48,timestamp,03/17/2025-22:51:11.699008,0
48,src_ip,10.21.236.98,150
48,src_port,42170,163
48,dest_ip,10.22.64.192,172
48,dest_port,22,185
49,timestamp,03/17/2025-22:51:11.702782,0
49,src_ip,10.22.64.192,175
49,src_port,22,188
49,dest_ip,10.21.236.98,194
49,dest_port,42176,207
50,timestamp,03/17/2025-22:51:11.702782,0
50,src_ip,10.22.64.192,150
50,src_port,22,163
50,dest_ip,10.21.236.98,169
50,dest_port,42176,182
51,timestamp,03/17/2025-22:51:11.703221,0
51,src_ip,10.21.236.98,200
51,src_port,42176,213
51,dest_ip,10.22.64.192,222
51,dest_port,22,235
52,timestamp,03/17/2025-22:51:11.703221,0
52,src_ip,10.21.236.98,150
52,src_port,42176,163
52,dest_ip,10.22.64.192,172
52,dest_port,22,185
53,timestamp,03/17/2025-22:51:11.712426,0
53,src_ip,10.22.64.192,175
53,src_port,22,188
53,dest_ip,10.21.236.98,194
53,dest_port,42182,207
54,timestamp,03/17/2025-22:51:11.712426,0
54,src_ip,10.22.64.192,150
54,src_port,22,163
54,dest_ip,10.21.236.98,169
54,dest_port,42182,182
55,timestamp,03/17/2025-22:51:11.712956,0
55,src_ip,10.21.236.98,150
55,src_port,42182,163
55,dest_ip,10.22.64.192,172
55,dest_port,22,185
56,timestamp,03/17/2025-22:51:11.716464,0
56,src_ip,10.22.64.192,175
56,src_port,22,188
56,dest_ip,10.21.236.98,194
56,dest_port,42190,207
57,timestamp,03/17/2025-22:51:11.716464,0
57,src_ip,10.22.64.192,150
57,src_port,22,163
57,dest_ip,10.21.236.98,169
57,dest_port,42190,182
58,timestamp,03/17/2025-22:51:11.717090,0
58,src_ip,10.21.236.98,150
58,src_port,42190,163
58,dest_ip,10.22.64.192,172
58,dest_port,22,185
59,timestamp,03/17/2025-22:51:11.726466,0
59,src_ip,10.22.64.192,175
59,src_port,22,188
59,dest_ip,10.21.236.98,194
59,dest_port,42206,207
60,timestamp,03/17/2025-22:51:11.726466,0
60,src_ip,10.22.64.192,150
60,src_port,22,163
60,dest_ip,10.21.236.98,169
60,dest_port,42206,182
61,timestamp,03/17/2025-22:51:11.726896,0
61,src_ip,10.21.236.98,150
61,src_port,42206,163
61,dest_ip,10.22.64.192,172
61,dest_port,22,185
62,timestamp,03/17/2025-22:51:11.730361,0
62,src_ip,10.22.64.192,175
62,src_port,22,188
62,dest_ip,10.21.236.98,194
62,dest_port,42214,207
63,timestamp,03/17/2025-22:51:11.730361,0
63,src_ip,10.22.64.192,150
63,src_port,22,163
63,dest_ip,10.21.236.98,169
63,dest_port,42214,182
64,timestamp,03/17/2025-22:51:11.730791,0
64,src_ip,10.21.236.98,150
64,src_port,42214,163
64,dest_ip,10.22.64.192,172
64,dest_port,22,185
65,timestamp,03/17/2025-22:51:11.740679,0
65,src_ip,10.22.64.192,175
65,src_port,22,188
65,dest_ip,10.21.236.98,194
65,dest_port,42216,207
66,timestamp,03/17/2025-22:51:11.740679,0
66,src_ip,10.22.64.192,150
66,src_port,22,163
66,dest_ip,10.21.236.98,169
66,dest_port,42216,182
67,timestamp,03/17/2025-22:51:11.741138,0
67,src_ip,10.21.236.98,150
67,src_port,42216,163
67,dest_ip,10.22.64.192,172
67,dest_port,22,185
68,timestamp,03/17/2025-22:51:18.076386,0
68,src_ip,10.22.64.192,175
68,src_port,22,188
68,dest_ip,10.21.236.98,194
68,dest_port,46872,207
69,timestamp,03/17/2025-22:51:18.076386,0
69,src_ip,10.22.64.192,150
69,src_port,22,163
69,dest_ip,10.21.236.98,169
69,dest_port,46872,182
70,timestamp,03/17/2025-22:51:18.076856,0
70,src_ip,10.21.236.98,150
70,src_port,46872,163
70,dest_ip,10.22.64.192,172
70,dest_port,22,185
71,timestamp,03/17/2025-22:51:18.100334,0
71,src_ip,10.22.64.192,175
71,src_port,22,188
71,dest_ip,10.21.236.98,194
71,dest_port,46880,207
72,timestamp,03/17/2025-22:51:18.100334,0
72,src_ip,10.22.64.192,150
72,src_port,22,163
72,dest_ip,10.21.236.98,169
72,dest_port,46880,182
73,timestamp,03/17/2025-22:51:18.100739,0
73,src_ip,10.21.236.98,150
73,src_port,46880,163
73,dest_ip,10.22.64.192,172
73,dest_port,22,185
74,timestamp,03/17/2025-22:51:18.104407,0
74,src_ip,10.22.64.192,175
74,src_port,22,188
74,dest_ip,10.21.236.98,194
74,dest_port,46888,207
75,timestamp,03/17/2025-22:51:18.104407,0
75,src_ip,10.22.64.192,150
75,src_port,22,163
75,dest_ip,10.21.236.98,169
75,dest_port,46888,182
76,timestamp,03/17/2025-22:51:18.104935,0
76,src_ip,10.21.236.98,150
76,src_port,46888,163
76,dest_ip,10.22.64.192,172
76,dest_port,22,185
77,timestamp,03/17/2025-22:51:18.115178,0
77,src_ip,10.22.64.192,175
77,src_port,22,188
77,dest_ip,10.21.236.98,194
77,dest_port,46890,207
78,timestamp,03/17/2025-22:51:18.115178,0
78,src_ip,10.22.64.192,150
78,src_port,22,163
78,dest_ip,10.21.236.98,169
78,dest_port,46890,182
79,timestamp,03/17/2025-22:51:18.115602,0
79,src_ip,10.21.236.98,150
79,src_port,46890,163
79,dest_ip,10.22.64.192,172
79,dest_port,22,185
80,timestamp,03/17/2025-22:52:23.031461,0
80,src_ip,10.22.66.121,140
80,src_port,57621,153
80,dest_ip,10.22.67.255,162
80,dest_port,57621,175
81,timestamp,03/17/2025-22:53:50.585102,0
81,src_ip,10.22.64.192,151
81,src_port,40834,164
81,dest_ip,157.240.16.52,173
81,dest_port,443,187
82,timestamp,03/17/2025-22:53:50.610055,0
82,src_ip,157.240.16.52,154
82,src_port,443,168
82,dest_ip,10.22.64.192,175
82,dest_port,40834,188
83,timestamp,03/17/2025-22:53:50.610055,0
83,src_ip,157.240.16.52,151
83,src_port,443,165
83,dest_ip,10.22.64.192,172
83,dest_port,40834,185
84,timestamp,03/17/2025-22:53:50.663593,0
84,src_ip,10.22.64.192,151
84,src_port,40834,164
84,dest_ip,157.240.16.52,173
84,dest_port,443,187
85,timestamp,03/17/2025-22:53:54.315331,0
85,src_ip,10.22.64.192,151
85,src_port,59569,164
85,dest_ip,163.70.143.60,173
85,dest_port,443,187
86,timestamp,03/17/2025-22:53:54.315723,0
86,src_ip,10.22.64.192,151
86,src_port,59569,164
86,dest_ip,163.70.143.60,173
86,dest_port,443,187
87,timestamp,03/17/2025-22:53:54.367028,0
87,src_ip,163.70.143.60,154
87,src_port,443,168
87,dest_ip,10.22.64.192,175
87,dest_port,59569,188
88,timestamp,03/17/2025-22:53:54.367028,0
88,src_ip,163.70.143.60,151
88,src_port,443,165
88,dest_ip,10.22.64.192,172
88,dest_port,59569,185
89,timestamp,03/17/2025-22:53:54.471547,0
89,src_ip,10.22.64.192,151
89,src_port,59569,164
89,dest_ip,163.70.143.60,173
89,dest_port,443,187
90,timestamp,03/17/2025-22:54:00.793038,0
90,src_ip,10.22.65.178,140
90,src_port,57621,153
90,dest_ip,10.22.67.255,162
90,dest_port,57621,175
91,timestamp,03/17/2025-22:54:03.455002,0
91,src_ip,10.22.65.180,140
91,src_port,57621,153
91,dest_ip,10.22.67.255,162
91,dest_port,57621,175
92,timestamp,03/17/2025-22:54:03.885466,0
92,src_ip,10.22.64.204,140
92,src_port,57621,153
92,dest_ip,10.22.67.255,162
92,dest_port,57621,175
93,timestamp,03/17/2025-22:54:06.642622,0
93,src_ip,10.22.65.91,140
93,src_port,57621,152
93,dest_ip,10.22.67.255,161
93,dest_port,57621,174
94,timestamp,03/17/2025-22:54:07.193822,0
94,src_ip,10.22.66.116,140
94,src_port,57621,153
94,dest_ip,10.22.67.255,162
94,dest_port,57621,175
95,timestamp,03/17/2025-22:54:07.275819,0
95,src_ip,10.22.64.173,140
95,src_port,57621,153
95,dest_ip,10.22.67.255,162
95,dest_port,57621,175
96,timestamp,03/17/2025-22:54:09.555927,0
96,src_ip,10.22.66.236,140
96,src_port,57621,153
96,dest_ip,10.22.67.255,162
96,dest_port,57621,175
97,timestamp,03/17/2025-22:54:22.501082,0
97,src_ip,10.22.66.83,140
97,src_port,57621,152
97,dest_ip,10.22.67.255,161
97,dest_port,57621,174
98,timestamp,03/17/2025-22:54:26.111308,0
98,src_ip,10.22.65.195,140
98,src_port,57621,153
98,dest_ip,10.22.67.255,162
98,dest_port,57621,175
99,timestamp,03/17/2025-22:54:31.156591,0
99,src_ip,10.22.66.87,140
99,src_port,57621,152
99,dest_ip,10.22.67.255,161
99,dest_port,57621,174
100,timestamp,03/17/2025-22:54:36.566955,0
100,src_ip,142.250.196.174,154
100,src_port,443,170
100,dest_ip,10.22.64.192,177
100,dest_port,39003,190
101,timestamp,03/17/2025-22:54:36.566955,0
101,src_ip,142.250.196.174,151
101,src_port,443,167
101,dest_ip,10.22.64.192,174
101,dest_port,39003,187
102,timestamp,03/17/2025-22:54:36.567914,0
102,src_ip,142.250.196.174,151
102,src_port,443,167
102,dest_ip,10.22.64.192,174
102,dest_port,39003,187
103,timestamp,03/17/2025-22:54:36.569184,0
103,src_ip,142.250.196.174,154
103,src_port,443,170
103,dest_ip,10.22.64.192,177
103,dest_port,59823,190
104,timestamp,03/17/2025-22:54:36.569184,0
104,src_ip,142.250.196.174,151
104,src_port,443,167
104,dest_ip,10.22.64.192,174
104,dest_port,59823,187
105,timestamp,03/17/2025-22:54:36.569184,0
105,src_ip,142.250.196.174,151
105,src_port,443,167
105,dest_ip,10.22.64.192,174
105,dest_port,39003,187
106,timestamp,03/17/2025-22:54:36.569667,0
106,src_ip,142.250.196.174,151
106,src_port,443,167
106,dest_ip,10.22.64.192,174
106,dest_port,59823,187
107,timestamp,03/17/2025-22:54:36.574303,0
107,src_ip,142.250.196.174,151
107,src_port,443,167
107,dest_ip,10.22.64.192,174
107,dest_port,39003,187
108,timestamp,03/17/2025-22:54:36.574502,0
108,src_ip,142.250.196.174,151
108,src_port,443,167
108,dest_ip,10.22.64.192,174
108,dest_port,59823,187
109,timestamp,03/17/2025-22:54:36.583028,0
109,src_ip,142.250.196.174,151
109,src_port,443,167
109,dest_ip,10.22.64.192,174
109,dest_port,59823,187
110,timestamp,03/17/2025-22:54:36.584569,0
110,src_ip,142.250.196.174,151
110,src_port,443,167
110,dest_ip,10.22.64.192,174
110,dest_port,39003,187
111,timestamp,03/17/2025-22:54:36.600478,0
111,src_ip,142.250.196.174,151
111,src_port,443,167
111,dest_ip,10.22.64.192,174
111,dest_port,59823,187
112,timestamp,03/17/2025-22:54:43.391804,0
112,src_ip,10.22.65.181,140
112,src_port,57621,153
112,dest_ip,10.22.67.255,162
112,dest_port,57621,175
113,timestamp,03/17/2025-22:54:43.504653,0
113,src_ip,10.22.65.223,140
113,src_port,57621,153
113,dest_ip,10.22.67.255,162
113,dest_port,57621,175
114,timestamp,03/17/2025-22:54:44.298619,0
114,src_ip,10.22.67.125,140
114,src_port,57621,153
114,dest_ip,10.22.67.255,162
114,dest_port,57621,175
115,timestamp,03/17/2025-22:54:51.160443,0
115,src_ip,10.22.66.204,140
115,src_port,57621,153
115,dest_ip,10.22.67.255,162
115,dest_port,57621,175
116,timestamp,03/17/2025-22:54:54.314359,0
116,src_ip,142.250.205.65,154
116,src_port,443,169
116,dest_ip,10.22.64.192,176
116,dest_port,58536,189
117,timestamp,03/17/2025-22:54:54.314359,0
117,src_ip,142.250.205.65,151
117,src_port,443,166
117,dest_ip,10.22.64.192,173
117,dest_port,58536,186
118,timestamp,03/17/2025-22:54:54.315609,0
118,src_ip,142.250.205.65,151
118,src_port,443,166
118,dest_ip,10.22.64.192,173
118,dest_port,58536,186
119,timestamp,03/17/2025-22:54:54.319392,0
119,src_ip,142.250.205.65,151
119,src_port,443,166
119,dest_ip,10.22.64.192,173
119,dest_port,58536,186
120,timestamp,03/17/2025-22:54:54.319689,0
120,src_ip,142.250.195.54,154
120,src_port,443,169
120,dest_ip,10.22.64.192,176
120,dest_port,39674,189
121,timestamp,03/17/2025-22:54:54.319689,0
121,src_ip,142.250.195.54,151
121,src_port,443,166
121,dest_ip,10.22.64.192,173
121,dest_port,39674,186
122,timestamp,03/17/2025-22:54:54.321795,0
122,src_ip,142.250.195.54,151
122,src_port,443,166
122,dest_ip,10.22.64.192,173
122,dest_port,39674,186
123,timestamp,03/17/2025-22:54:54.326802,0
123,src_ip,142.250.205.65,151
123,src_port,443,166
123,dest_ip,10.22.64.192,173
123,dest_port,58536,186
124,timestamp,03/17/2025-22:54:54.327606,0
124,src_ip,142.250.195.54,151
124,src_port,443,166
124,dest_ip,10.22.64.192,173
124,dest_port,39674,186
125,timestamp,03/17/2025-22:54:54.339916,0
125,src_ip,142.250.195.54,151
125,src_port,443,166
125,dest_ip,10.22.64.192,173
125,dest_port,39674,186
126,timestamp,03/17/2025-22:54:54.340854,0
126,src_ip,142.250.205.65,151
126,src_port,443,166
126,dest_ip,10.22.64.192,173
126,dest_port,58536,186
127,timestamp,03/17/2025-22:54:54.926376,0
127,src_ip,180.149.60.57,154
127,src_port,443,168
127,dest_ip,10.22.64.192,175
127,dest_port,39942,188
128,timestamp,03/17/2025-22:54:54.926376,0
128,src_ip,180.149.60.57,151
128,src_port,443,165
128,dest_ip,10.22.64.192,172
128,dest_port,39942,185
129,timestamp,03/17/2025-22:54:54.946627,0
129,src_ip,142.250.195.54,154
129,src_port,443,169
129,dest_ip,10.22.64.192,176
129,dest_port,39181,189
130,timestamp,03/17/2025-22:54:54.946627,0
130,src_ip,142.250.195.54,151
130,src_port,443,166
130,dest_ip,10.22.64.192,173
130,dest_port,39181,186
131,timestamp,03/17/2025-22:54:54.948488,0
131,src_ip,142.250.195.54,151
131,src_port,443,166
131,dest_ip,10.22.64.192,173
131,dest_port,39181,186
132,timestamp,03/17/2025-22:54:54.951704,0
132,src_ip,142.250.195.54,151
132,src_port,443,166
132,dest_ip,10.22.64.192,173
132,dest_port,39181,186
133,timestamp,03/17/2025-22:54:54.952661,0
133,src_ip,180.149.60.57,151
133,src_port,443,165
133,dest_ip,10.22.64.192,172
133,dest_port,39942,185
134,timestamp,03/17/2025-22:54:54.957384,0
134,src_ip,142.250.195.54,151
134,src_port,443,166
134,dest_ip,10.22.64.192,173
134,dest_port,39181,186
135,timestamp,03/17/2025-22:54:54.968366,0
135,src_ip,142.250.195.54,151
135,src_port,443,166
135,dest_ip,10.22.64.192,173
135,dest_port,39181,186
136,timestamp,03/17/2025-22:54:55.533015,0
136,src_ip,10.22.65.82,140
136,src_port,57621,152
136,dest_ip,10.22.67.255,161
136,dest_port,57621,174
137,timestamp,03/17/2025-22:54:56.323274,0
137,src_ip,172.217.138.39,154
137,src_port,443,169
137,dest_ip,10.22.64.192,176
137,dest_port,51280,189
138,timestamp,03/17/2025-22:54:56.323274,0
138,src_ip,172.217.138.39,151
138,src_port,443,166
138,dest_ip,10.22.64.192,173
138,dest_port,51280,186
139,timestamp,03/17/2025-22:54:56.323848,0
139,src_ip,172.217.138.39,151
139,src_port,443,166
139,dest_ip,10.22.64.192,173
139,dest_port,51280,186
140,timestamp,03/17/2025-22:54:56.323848,0
140,src_ip,172.217.138.39,151
140,src_port,443,166
140,dest_ip,10.22.64.192,173
140,dest_port,51280,186
141,timestamp,03/17/2025-22:54:56.323848,0
141,src_ip,172.217.138.39,151
141,src_port,443,166
141,dest_ip,10.22.64.192,173
141,dest_port,51280,186
142,timestamp,03/17/2025-22:54:56.324812,0
142,src_ip,172.217.138.39,151
142,src_port,443,166
142,dest_ip,10.22.64.192,173
142,dest_port,51280,186
143,timestamp,03/17/2025-22:54:57.916815,0
143,src_ip,142.250.183.3,154
143,src_port,443,168
143,dest_ip,10.22.64.192,175
143,dest_port,50997,188
144,timestamp,03/17/2025-22:54:57.916815,0
144,src_ip,142.250.183.3,151
144,src_port,443,165
144,dest_ip,10.22.64.192,172
144,dest_port,50997,185
145,timestamp,03/17/2025-22:54:59.283030,0
145,src_ip,142.250.192.2,154
145,src_port,443,168
145,dest_ip,10.22.64.192,175
145,dest_port,51424,188
146,timestamp,03/17/2025-22:54:59.283030,0
146,src_ip,142.250.192.2,151
146,src_port,443,165
146,dest_ip,10.22.64.192,172
146,dest_port,51424,185
147,timestamp,03/17/2025-22:55:04.988995,0
147,src_ip,10.22.64.146,140
147,src_port,57621,153
147,dest_ip,10.22.67.255,162
147,dest_port,57621,175
148,timestamp,03/17/2025-22:55:14.374553,0
148,src_ip,10.22.65.120,140
148,src_port,57621,153
148,dest_ip,10.22.67.255,162
148,dest_port,57621,175
149,timestamp,03/17/2025-22:55:14.376666,0
149,src_ip,10.22.65.249,140
149,src_port,57621,153
149,dest_ip,10.22.67.255,162
149,dest_port,57621,175
150,timestamp,03/17/2025-22:55:14.391428,0
150,src_ip,10.22.67.162,140
150,src_port,57621,153
150,dest_ip,10.22.67.255,162
150,dest_port,57621,175
151,timestamp,03/17/2025-22:55:26.630666,0
151,src_ip,172.217.136.39,154
151,src_port,443,169
151,dest_ip,10.22.64.192,176
151,dest_port,44356,189
152,timestamp,03/17/2025-22:55:26.630666,0
152,src_ip,172.217.136.39,151
152,src_port,443,166
152,dest_ip,10.22.64.192,173
152,dest_port,44356,186
153,timestamp,03/17/2025-22:55:27.557322,0
153,src_ip,142.250.192.2,154
153,src_port,443,168
153,dest_ip,10.22.64.192,175
153,dest_port,56062,188
154,timestamp,03/17/2025-22:55:27.557322,0
154,src_ip,142.250.192.2,151
154,src_port,443,165
154,dest_ip,10.22.64.192,172
154,dest_port,56062,185
155,timestamp,03/17/2025-22:55:58.107951,0
155,src_ip,10.22.67.180,140
155,src_port,57621,153
155,dest_ip,10.22.67.255,162
155,dest_port,57621,175
156,timestamp,03/17/2025-22:57:04.666003,0
156,src_ip,10.22.67.184,140
156,src_port,57621,153
156,dest_ip,10.22.67.255,162
156,dest_port,57621,175
157,timestamp,03/17/2025-22:57:41.785383,0
157,src_ip,10.22.66.121,140
157,src_port,57621,153
157,dest_ip,10.22.67.255,162
157,dest_port,57621,175
158,timestamp,03/17/2025-22:58:32.779633,0
158,src_ip,10.22.65.119,140
158,src_port,57621,153
158,dest_ip,10.22.67.255,162
158,dest_port,57621,175
159,timestamp,03/17/2025-22:59:30.301570,0
159,src_ip,10.22.66.116,140
159,src_port,57621,153
159,dest_ip,10.22.67.255,162
159,dest_port,57621,175
160,timestamp,03/17/2025-22:59:34.542641,0
160,src_ip,10.22.65.178,140
160,src_port,57621,153
160,dest_ip,10.22.67.255,162
160,dest_port,57621,175
161,timestamp,03/17/2025-22:59:36.058139,0
161,src_ip,10.22.64.204,140
161,src_port,57621,153
161,dest_ip,10.22.67.255,162
161,dest_port,57621,175
162,timestamp,03/17/2025-22:59:39.496379,0
162,src_ip,10.22.65.180,140
162,src_port,57621,153
162,dest_ip,10.22.67.255,162
162,dest_port,57621,175
163,timestamp,03/17/2025-22:59:39.845971,0
163,src_ip,10.22.66.236,140
163,src_port,57621,153
163,dest_ip,10.22.67.255,162
163,dest_port,57621,175
164,timestamp,03/17/2025-22:59:40.384454,0
164,src_ip,10.22.65.195,140
164,src_port,57621,153
164,dest_ip,10.22.67.255,162
164,dest_port,57621,175
165,timestamp,03/17/2025-22:59:44.020660,0
165,src_ip,10.22.65.91,140
165,src_port,57621,152
165,dest_ip,10.22.67.255,161
165,dest_port,57621,174
166,timestamp,03/17/2025-22:59:57.703678,0
166,src_ip,10.22.66.83,140
166,src_port,57621,152
166,dest_ip,10.22.67.255,161
166,dest_port,57621,174
167,timestamp,03/17/2025-23:00:13.680569,0
167,src_ip,10.22.66.87,140
167,src_port,57621,152
167,dest_ip,10.22.67.255,161
167,dest_port,57621,174
168,timestamp,03/17/2025-23:00:13.715023,0
168,src_ip,10.22.65.223,140
168,src_port,57621,153
168,dest_ip,10.22.67.255,162
168,dest_port,57621,175
169,timestamp,03/17/2025-23:00:14.587406,0
169,src_ip,10.22.64.173,140
169,src_port,57621,153
169,dest_ip,10.22.67.255,162
169,dest_port,57621,175
170,timestamp,03/17/2025-23:00:28.541298,0
170,src_ip,10.22.65.181,140
170,src_port,57621,153
